AGENT_ID,AGENT_NAME,DATE_OF_JOINING,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,POSTAL_CODE,EMP_ROUTING_NUMBER,EMP_ACCT_NUMBER
AGENT00001,Ray Johns,1993-06-05,1402 Maggies Way,,Waterbury Center,VT,05677,034584958,HKUN51252328472585
AGENT00002,Angelo Borjon,2005-12-27,414 Tanya Pass,,Panama City,FL,32404,107363763,OPIS19290040088204
AGENT00003,Candy Spellman,2003-09-02,606 National Street,#306,Fayetteville,AR,72701,081744097,YSCJ67489688482590
AGENT00004,Mary Smith,2004-09-23,235 Hugh Thomas Drive,,Panama City,FL,32404,067563771,ZANG21285355574581
AGENT00005,Mildred Diaz,2011-06-21,3426 Broadview Street,,Montgomery,AL,36110,114951317,DZFS82244494451134
AGENT00006,Linda Butler,2000-09-02,10383 Eagle River Lane,,Anchorage,AK,99577,082970527,TIDG93550966796680
AGENT00007,Michael Hoskins,1993-10-26,5011 West New World Drive,,Glendale,AZ,85302,053819552,OVFE89299102977291
AGENT00008,Carolyn Quesada,2003-11-15,2538 East 40th Plaza,,Panama City,FL,32405,058311521,HOSW68784912234194
AGENT00009,Marilyn Allen,2009-12-24,4840 Reservoir Road Northwest,,Washington,DC,20007,066645522,NXRT72066780733033
AGENT00010,Bernard Haug,1992-09-04,2278 North Windswept Lane,,Fayetteville,AR,72703,075517997,ADZX82914131196683
AGENT00011,Nancy Coronado,2002-01-31,357 Chaplin Street Southeast,,Washington,DC,20019,028574903,CEIG07819775081568
AGENT00012,Jeffrey Forbis,2010-08-05,2619 North Quality Lane,#315,Fayetteville,AR,72703,121484709,IQRF67979220911116
AGENT00013,Carolyn Jones,2004-06-03,6214 Herzog Street,,Oakland,CA,94608,022235031,OBTC64157859730067
AGENT00014,Larry Dryer,2005-02-22,6630 MacArthur Boulevard,#19,Oakland,CA,94605,020663647,FXNK82621091893099
AGENT00015,Charles George,1998-01-31,4717 Forest Hills Drive,,Noble,OK,73068,112506777,PEUK68232037630713
AGENT00016,Lawrence French,2001-03-27,6223 Kilmer Loop,#206,Arvada,CO,80403,117354623,FHIJ73978869917642
AGENT00017,Robert Gordon,2003-09-09,1100 Cleveland Street,,Fayetteville,AR,72701,033587927,SXOO45515923150315
AGENT00018,Rita Allaire,1990-09-30,9457 Winfield Place,,Montgomery,AL,36117,031655398,LROE33621282470193
AGENT00019,Letitia Friedman,2015-03-03,2728 Hale Avenue,,Louisville,KY,40211,036932870,HQBC86092587568338
AGENT00020,Freddy Kelly,2004-11-07,514 East 38th Street,,Savannah,GA,31401,070571857,CSDO98178213155606
AGENT00021,Robert Barnes,1992-08-01,54 Pine Meadow Drive,,Hyde Park,VT,05655,060304500,QBCN62231485753777
AGENT00022,Jeffery Mcbride,1997-01-13,2032 4th Street Northwest,,Washington,DC,20001,062349783,QESE68363490537237
AGENT00023,Amy Venice,2009-12-11,386 Pratt Road,,,VT,05033,050361922,AQEJ74503862345483
AGENT00024,Herbert Harris,1991-05-10,2433 Southwest 36th Street,,Oklahoma City,OK,73109,013102173,ZOKM64306961771096
AGENT00025,Elizabeth Mobley,2010-12-08,19020 North 68th Avenue,,Glendale,AZ,85308,060796891,LJXW49594989067332
AGENT00026,Josephine Amorosi,2011-09-23,1650 North Sang Avenue,#211,Fayetteville,AR,72703,090344527,OFDO18308945661277
